id1,id2,friended_on
18,147,2015-10-03
8,460,2013-12-09
21,57,2015-12-27
11,370,2015-09-01
20,92,2015-07-08
19,124,2011-12-23
10,404,2015-12-31
7,499,2015-10-10
17,190,2013-11-10
3,624,2014-07-30
9,438,2015-11-04
14,284,2014-06-30
15,253,2009-02-08
20,100,2015-03-12
8,475,2015-07-19
11,382,2015-12-14
21,73,2015-12-15
13,322,2010-10-16
23,13,2015-04-28
18,169,2015-09-14
17,201,2013-12-22
4,606,2015-09-17
21,79,2015-04-16
8,482,2014-08-24
19,142,2012-12-05
20,111,2015-02-12
16,237,2014-01-29
6,548,2015-09-06
7,518,2015-12-25
2,673,2008-07-05
16,240,2015-06-25
20,118,2015-04-28
10,428,2013-03-04
17,214,2013-02-23
7,525,2010-06-22
15,277,2013-01-24
12,370,2015-12-18
18,185,2015-10-26
10,434,2011-07-15
18,187,2015-10-12
23,32,2011-01-01
15,281,2011-03-19
5,592,2013-09-26
1,716,2005-10-13
17,221,2015-09-06
8,502,2013-03-26
24,8,2014-12-16
15,288,2015-08-18
24,10,2008-09-04
15,291,2014-10-23
10,447,2015-07-04
15,292,2012-10-29
15,293,2009-05-19
18,201,2015-10-22
23,46,2014-11-11
13,356,2014-10-09
19,172,2012-02-28
6,575,2014-07-16
12,390,2011-06-24
18,205,2015-12-05
12,392,2015-11-18
11,424,2014-01-21
17,238,2015-01-09
4,641,2014-09-22
21,114,2008-08-02
3,674,2015-12-20
2,705,2011-06-13
4,646,2015-12-16
16,274,2011-01-31
22,89,2012-07-30
19,183,2014-02-24
16,277,2014-12-05
8,525,2014-08-14
9,494,2015-09-11
3,681,2015-06-21
17,248,2010-01-16
24,31,2013-03-16
18,217,2015-12-03
6,591,2015-11-02
23,65,2013-10-12
16,283,2015-06-12
1,748,2007-06-01
5,624,2015-02-09
16,284,2012-11-18
8,533,2015-04-07
25,7,2008-09-20
13,379,2013-08-14
25,8,2015-11-14
14,350,2007-11-30
6,600,2015-01-24
25,13,2003-06-19
12,417,2015-07-05
4,665,2015-12-10
15,324,2011-04-28
20,169,2015-04-06
11,450,2008-05-26
16,295,2014-07-11
17,264,2011-05-14
5,637,2015-10-24
24,50,2006-12-23
2,733,2005-09-06
3,703,2015-05-15
11,457,2014-09-01
9,519,2015-09-27
20,179,2015-06-20
22,117,2015-05-04
9,521,2015-11-05
18,242,2015-09-11
4,676,2013-11-19
23,90,2011-08-31
6,618,2015-12-12
11,463,2005-06-28
2,743,2009-04-21
10,496,2014-03-08
5,652,2015-03-25
24,63,2014-04-17
5,653,2015-08-13
8,562,2013-12-31
21,160,2014-12-02
7,594,2015-12-12
17,287,2008-01-27
15,350,2015-05-04
7,601,2013-04-01
4,694,2015-01-29
24,74,2009-02-23
17,292,2012-09-27
10,511,2013-10-23
2,760,2008-04-24
19,235,2015-02-01
7,607,2015-10-02
17,298,2013-01-17
2,763,2015-01-13
19,238,2013-04-13
7,610,2013-12-12
18,269,2015-11-25
3,735,2015-05-19
23,116,2014-10-17
3,736,2015-08-11
14,396,2012-11-18
22,148,2011-03-24
18,273,2015-09-04
21,184,2012-01-10
24,92,2015-01-14
3,743,2013-11-09
23,125,2010-12-08
3,745,2014-05-14
8,591,2015-12-19
17,313,2015-01-16
22,159,2014-08-16
9,562,2015-09-06
16,346,2014-09-08
19,255,2013-12-02
5,689,2014-11-22
4,722,2015-11-22
10,537,2014-12-17
18,290,2015-09-21
10,540,2010-11-12
17,324,2015-11-21
22,170,2010-01-13
11,511,2014-11-03
6,666,2012-12-26
12,480,2012-06-16
9,575,2015-12-02
4,732,2013-03-11
1,826,2013-11-18
14,423,2007-10-29
25,82,2014-06-29
17,331,2014-12-12
7,642,2014-03-31
12,488,2015-11-26
12,489,2011-05-22
22,180,2011-03-29
21,212,2008-03-08
25,90,2010-05-08
18,307,2015-09-28
6,680,2014-09-05
5,712,2015-09-03
8,621,2015-01-22
2,808,2011-11-28
11,529,2013-03-20
23,157,2015-04-01
8,623,2015-11-23
21,221,2015-08-30
14,441,2015-05-01
9,598,2015-10-05
22,196,2012-03-30
4,755,2014-10-20
8,632,2015-08-13
17,353,2010-12-20
11,540,2010-03-04
28,14,2013-07-27
6,696,2012-01-07
18,324,2015-11-15
8,635,2015-08-11
17,356,2010-10-30
14,449,2014-10-13
26,78,2014-11-18
15,422,2014-07-30
17,360,2015-02-23
21,238,2012-10-05
11,548,2014-10-19
23,177,2015-01-20
27,53,2015-06-16
3,797,2014-09-06
14,457,2011-10-29
12,520,2014-06-28
11,552,2015-06-12
22,213,2008-03-18
11,554,2013-07-07
5,741,2014-12-19
10,586,2008-11-27
23,185,2011-10-10
11,557,2015-09-21
8,651,2014-06-29
27,63,2015-10-09
19,311,2014-08-09
27,68,2009-06-26
10,597,2011-04-04
29,8,2015-06-27
27,70,2014-08-21
28,39,2015-02-19
26,102,2012-11-09
1,878,2011-11-15
5,755,2013-08-23
16,415,2012-08-25
28,47,2014-09-16
18,359,2015-11-07
8,670,2013-03-27
21,269,2005-03-30
14,487,2015-08-03
26,115,2015-11-15
25,146,2015-07-29
24,178,2015-04-02
23,210,2015-11-20
18,366,2015-09-17
22,243,2010-07-02
15,460,2012-12-24
25,151,2015-11-19
24,183,2012-10-04
23,214,2009-04-08
5,772,2015-09-27
12,556,2014-08-22
19,342,2014-06-27
20,312,2015-07-27
27,95,2015-01-29
23,220,2014-04-26
10,623,2004-11-25
8,686,2015-12-24
14,501,2014-05-27
24,191,2011-10-20
30,7,2010-09-10
18,380,2015-10-17
7,721,2011-11-06
24,195,2008-10-17
15,474,2015-09-10
2,878,2015-05-23
20,320,2015-10-19
4,816,2013-10-09
8,693,2015-02-01
26,136,2012-01-08
10,632,2015-05-29
5,787,2015-09-02
11,601,2014-12-20
26,137,2012-04-05
22,262,2012-10-10
27,108,2010-12-17
6,760,2010-12-15
10,636,2009-06-07
16,451,2012-02-08
18,390,2015-11-13
28,80,2013-03-10
15,483,2014-09-17
29,51,2015-03-08
6,765,2010-10-31
19,363,2015-05-16
15,487,2015-06-11
22,270,2015-11-19
18,395,2015-11-02
29,56,2013-04-17
14,522,2014-12-10
25,181,2015-03-26
8,709,2015-02-25
9,679,2015-12-19
2,897,2013-08-18
13,556,2003-06-14
16,464,2014-02-05
25,186,2015-03-17
29,62,2015-01-05
2,900,2014-12-16
21,312,2012-12-03
28,96,2011-04-19
21,313,2015-02-24
22,283,2014-09-02
14,531,2015-02-05
11,624,2011-08-22
22,284,2013-05-19
24,223,2013-01-13
27,130,2015-09-08
3,875,2015-11-16
14,534,2011-04-29
10,659,2014-05-18
22,288,2014-12-19
10,663,2015-08-27
12,601,2013-07-23
25,198,2015-03-31
10,664,2012-05-23
24,231,2014-11-18
21,324,2005-03-13
20,356,2015-05-22
30,48,2015-10-24
16,482,2015-05-13
27,142,2011-06-04
23,267,2012-07-30
2,918,2015-02-21
3,888,2013-12-31
17,454,2009-08-10
27,145,2009-05-01
24,238,2009-01-19
28,114,2011-04-19
10,673,2010-09-04
6,797,2015-01-18
12,612,2014-01-13
8,737,2013-02-10
31,24,2013-03-16
16,490,2015-04-22
14,552,2014-07-08
26,180,2013-04-27
7,770,2015-12-29
22,307,2015-07-16
25,214,2013-05-02
30,59,2015-10-24
12,618,2010-10-29
20,370,2015-01-11
21,340,2015-02-18
13,589,2012-06-26
31,32,2012-09-16
28,125,2013-06-24
22,312,2015-08-10
23,281,2014-06-13
13,591,2015-12-28
4,870,2015-03-08
7,781,2008-10-17
26,192,2010-10-30
14,565,2013-06-26
18,441,2015-09-09
10,689,2014-08-26
12,628,2015-02-02
21,349,2014-03-06
4,877,2014-01-03
17,474,2013-06-11
6,816,2014-10-09
29,103,2011-11-21
26,197,2015-06-22
25,228,2008-09-20
22,322,2013-05-16
15,539,2013-12-04
9,726,2015-09-03
17,478,2012-04-01
16,510,2015-04-02
27,169,2012-03-26
12,634,2015-10-21
27,170,2013-10-26
11,667,2007-08-24
1,978,2013-04-03
24,265,2015-09-01
11,668,2015-03-03
22,328,2007-12-21
21,359,2012-08-19
18,453,2015-11-08
10,701,2015-10-26
21,361,2014-02-03
27,175,2015-04-08
13,610,2009-04-11
27,176,2010-10-25
6,827,2009-01-28
12,643,2015-02-20
21,364,2013-02-21
32,23,2011-01-01
2,954,2011-06-05
21,367,2011-11-14
15,554,2009-12-12
22,337,2009-11-06
14,585,2014-11-28
27,183,2010-07-06
12,649,2014-09-10
10,712,2015-09-09
32,31,2012-09-16
28,155,2015-04-01
28,156,2015-06-16
12,653,2015-09-02
19,436,2014-08-13
31,66,2015-01-16
7,812,2015-01-12
3,937,2015-12-24
12,658,2013-12-01
29,132,2013-06-19
28,165,2015-11-09
10,724,2013-10-21
13,631,2013-08-11
25,260,2014-10-17
11,694,2015-02-25
13,633,2015-03-30
29,137,2013-07-19
4,913,2015-02-05
32,45,2015-07-25
12,666,2014-05-04
15,575,2015-06-03
31,80,2012-10-13
22,359,2008-02-25
32,50,2015-02-15
11,702,2013-12-26
22,362,2011-11-02
28,177,2014-09-21
14,611,2015-08-22
10,737,2015-05-31
17,520,2014-04-15
2,986,2009-08-04
18,490,2015-11-08
24,304,2015-01-05
9,770,2015-12-31
26,243,2011-04-23
28,181,2015-12-22
27,213,2013-03-03
13,649,2010-06-19
16,556,2009-07-16
17,525,2010-07-28
15,587,2014-07-31
27,216,2014-11-17
3,960,2015-11-11
11,712,2014-11-29
31,93,2014-06-08
26,248,2015-07-27
15,589,2013-07-06
12,683,2013-12-21
16,559,2015-01-15
4,931,2015-03-13
31,95,2015-08-14
5,902,2015-03-31
7,840,2015-06-30
17,530,2014-09-28
17,531,2015-10-24
34,4,2013-05-05
34,7,2005-11-22
30,131,2012-05-20
3,969,2014-11-20
8,815,2014-08-11
24,320,2015-11-30
7,848,2014-09-23
12,693,2012-04-25
33,44,2014-05-06
21,416,2015-02-23
18,509,2015-10-16
11,727,2010-05-29
21,417,2013-04-07
26,262,2014-03-09
3,976,2015-11-17
32,79,2013-08-24
33,48,2015-06-19
14,637,2015-09-28
12,700,2011-09-26
22,390,2011-08-27
19,484,2012-09-16
23,360,2015-01-13
12,701,2015-08-24
11,732,2015-08-10
29,176,2015-12-18
7,858,2011-03-15
15,610,2012-08-23
13,672,2014-01-24
22,394,2015-08-20
4,952,2013-09-28
9,797,2015-10-08
33,53,2015-09-18
28,210,2015-03-09
6,893,2014-06-28
7,863,2014-06-21
29,183,2014-08-23
26,276,2014-06-21
11,741,2013-04-11
14,650,2013-03-20
32,92,2014-11-01
16,588,2015-05-30
18,526,2015-12-02
29,185,2014-09-13
10,775,2009-12-06
31,126,2014-10-15
14,653,2015-08-09
21,436,2013-08-26
4,964,2014-06-27
18,530,2015-11-25
14,655,2010-05-30
15,625,2011-03-01
18,532,2015-11-28
5,935,2013-08-04
32,98,2015-12-31
33,68,2012-07-01
7,874,2012-02-09
9,812,2015-11-13
21,443,2009-03-17
22,413,2014-02-04
28,227,2012-03-01
5,940,2015-06-29
30,167,2010-05-16
15,632,2012-06-02
5,943,2014-03-18
22,416,2015-03-26
29,199,2013-04-25
12,727,2015-12-03
10,791,2010-10-31
26,296,2010-11-08
24,358,2013-03-18
6,917,2012-11-06
9,824,2015-12-26
16,609,2013-01-02
29,206,2013-01-30
10,797,2015-03-13
5,952,2013-06-02
28,241,2014-10-14
32,119,2015-12-20
26,305,2015-01-04
23,399,2015-11-27
32,120,2010-08-28
25,337,2013-02-11
29,213,2012-09-29
19,524,2012-12-17
20,493,2014-11-21
29,214,2015-03-28
23,400,2009-10-02
26,307,2012-06-20
4,990,2014-10-06
7,898,2010-08-22
32,124,2010-09-14
13,714,2015-09-17
32,126,2015-02-09
4,994,2013-02-22
4,997,2013-12-06
35,36,2015-08-09
14,687,2015-09-26
34,68,2015-11-21
35,38,2015-07-04
35,39,2012-12-04
8,877,2015-04-08
20,505,2015-12-07
30,195,2008-12-05
26,320,2015-09-02
22,444,2014-12-21
36,10,2013-12-02
8,878,2014-02-07
12,754,2013-02-28
21,475,2006-05-14
14,693,2013-06-18
16,631,2010-03-31
36,11,2012-01-25
6,942,2013-03-25
20,508,2015-09-21
25,353,2011-10-03
34,74,2015-09-08
19,540,2011-04-30
31,168,2015-09-01
22,447,2015-12-19
23,417,2014-11-23
14,696,2009-07-30
33,108,2012-01-24
16,635,2014-04-23
16,636,2011-02-25
8,885,2015-11-08
35,50,2011-05-30
17,608,2008-09-24
7,919,2011-02-05
31,175,2014-12-25
21,485,2012-11-29
9,858,2015-10-16
19,549,2015-11-22
21,489,2012-05-06
20,520,2015-08-11
16,645,2013-03-02
24,398,2014-07-02
28,275,2015-12-17
35,60,2012-10-02
7,928,2012-09-06
10,836,2006-04-18
32,154,2015-09-11
10,837,2015-05-22
26,341,2010-08-26
15,682,2015-09-14
8,900,2013-05-30
26,343,2015-07-31
36,35,2015-08-09
7,935,2010-11-09
26,346,2014-07-07
25,378,2004-08-13
20,533,2015-01-31
18,595,2015-09-06
12,781,2013-11-15
21,503,2015-10-28
10,844,2008-07-23
35,71,2014-09-20
16,660,2014-08-12
15,692,2011-11-02
28,289,2015-05-29
12,785,2009-11-04
26,351,2013-10-19
8,910,2015-06-16
35,73,2012-06-10
26,352,2014-02-28
9,880,2015-09-05
30,230,2011-11-08
15,695,2010-08-11
18,603,2015-11-03
24,418,2014-10-02
10,852,2015-09-14
10,853,2012-08-16
34,109,2010-08-25
16,667,2013-11-01
14,730,2015-12-06
27,327,2008-04-25
6,978,2011-06-12
8,916,2015-10-21
24,421,2012-11-26
20,546,2015-12-31
10,856,2007-11-20
26,360,2015-04-07
13,764,2014-06-10
35,82,2014-01-23
24,424,2015-05-07
7,951,2008-02-19
34,114,2008-10-12
24,426,2011-12-26
17,643,2014-09-09
33,147,2015-03-29
36,56,2014-07-05
22,490,2015-12-21
30,242,2014-07-11
36,57,2014-10-30
18,615,2015-09-05
15,708,2013-03-30
14,740,2013-08-09
13,771,2008-05-29
26,368,2013-06-14
13,773,2012-11-04
21,525,2015-09-05
31,215,2013-11-27
12,804,2015-01-20
36,64,2014-10-24
10,870,2012-10-15
21,530,2010-10-16
34,127,2011-01-10
20,562,2015-08-12
38,5,2013-12-13
32,192,2010-09-06
33,162,2015-08-07
16,689,2008-05-07
31,226,2014-02-11
21,536,2015-03-24
17,660,2015-12-08
12,816,2013-05-10
37,43,2014-04-17
26,384,2010-10-18
29,292,2014-04-15
34,137,2012-03-29
32,200,2015-11-16
23,480,2013-12-06
34,141,2013-10-09
38,18,2015-10-28
15,731,2014-03-02
29,297,2014-02-05
8,951,2014-01-08
13,797,2015-06-05
18,643,2015-10-06
9,922,2015-10-04
14,767,2014-11-24
37,54,2014-10-31
24,458,2014-12-28
18,645,2015-11-16
23,490,2015-01-19
17,676,2013-02-17
22,522,2014-09-14
29,305,2015-09-09
30,274,2011-03-10
11,864,2013-08-08
24,461,2014-10-24
20,586,2014-11-20
24,462,2015-09-11
13,803,2013-12-31
28,339,2014-07-04
7,991,2013-09-26
20,589,2015-10-05
28,342,2015-06-06
31,250,2012-08-02
27,374,2007-06-03
18,654,2015-11-14
27,376,2015-07-11
38,35,2015-07-04
23,501,2013-09-19
35,130,2015-05-21
17,689,2015-08-28
23,503,2015-11-03
16,721,2009-08-21
9,938,2015-11-06
23,505,2015-12-17
37,71,2015-06-08
30,289,2015-06-26
30,290,2013-03-21
29,322,2015-09-27
20,601,2015-08-02
14,787,2005-12-26
27,385,2015-06-16
34,168,2013-06-03
13,820,2014-07-29
38,46,2014-04-04
16,733,2015-11-20
15,764,2015-11-24
14,796,2015-09-09
39,21,2009-02-26
29,332,2015-05-29
9,952,2015-12-17
12,861,2014-04-06
31,272,2014-12-02
27,397,2012-07-20
19,645,2011-08-30
28,367,2015-08-26
20,616,2015-07-21
39,28,2015-02-19
17,711,2014-09-01
24,494,2013-05-09
16,743,2010-12-16
11,898,2008-07-22
15,775,2015-01-31
35,155,2015-03-14
28,373,2009-05-17
35,156,2015-07-30
26,436,2013-10-04
35,158,2014-09-09
31,282,2012-06-10
39,35,2012-12-04
12,873,2015-04-29
36,129,2014-05-29
33,223,2012-02-02
24,502,2015-12-18
22,565,2014-04-20
35,163,2014-09-13
13,848,2015-11-25
24,508,2015-02-06
37,108,2015-05-06
37,109,2015-05-02
28,388,2012-07-30
25,481,2010-12-17
14,823,2013-05-13
17,732,2014-06-08
22,579,2015-07-14
30,331,2013-08-07
19,673,2014-09-15
20,643,2015-11-17
36,147,2010-07-29
37,117,2015-02-12
10,954,2010-08-29
14,831,2015-05-05
9,986,2015-10-13
23,555,2015-04-19
35,183,2014-07-05
34,214,2013-09-10
36,154,2014-05-03
16,774,2014-08-28
38,93,2015-12-02
24,527,2014-11-16
22,590,2015-12-14
34,218,2007-03-04
9,993,2015-10-29
27,437,2013-02-26
14,840,2015-09-10
32,283,2015-02-17
38,98,2015-12-25
21,626,2014-07-17
32,287,2015-01-22
31,318,2013-06-13
24,536,2010-10-07
18,722,2015-11-30
40,45,2015-01-31
21,634,2015-02-25
28,418,2015-11-01
13,884,2015-09-08
13,885,2015-10-24
22,606,2012-02-25
20,669,2014-12-23
10,980,2011-02-25
35,206,2015-10-04
25,516,2015-02-04
38,115,2015-07-22
24,550,2014-01-11
14,862,2004-10-28
29,399,2013-12-03
35,214,2011-08-31
24,557,2015-12-20
15,836,2010-02-25
35,216,2015-10-03
31,344,2013-08-09
20,685,2015-12-27
40,66,2014-02-25
37,160,2014-06-15
20,688,2015-01-22
12,938,2014-09-06
13,908,2009-12-24
18,753,2015-09-04
37,165,2015-08-03
34,259,2013-08-20
27,476,2015-06-05
22,631,2008-07-24
20,693,2014-12-16
36,197,2015-10-05
24,570,2015-09-25
37,168,2014-05-25
17,789,2010-08-19
35,231,2012-06-08
36,201,2012-03-23
19,728,2012-10-15
27,480,2011-08-07
37,171,2015-02-24
37,173,2015-02-11
29,421,2012-11-24
17,794,2008-09-13
41,50,2002-12-09
40,82,2012-04-16
33,299,2015-03-22
16,826,2015-02-15
23,611,2014-10-06
13,922,2011-03-31
39,116,2010-09-26
20,705,2015-08-25
22,644,2015-08-28
26,521,2015-09-15
37,180,2015-12-12
32,335,2014-04-09
15,863,2015-12-21
36,213,2008-12-09
35,245,2014-03-02
12,958,2015-06-13
18,772,2015-09-14
23,619,2012-05-07
24,588,2015-12-02
21,683,2009-03-31
38,157,2015-05-30
25,560,2012-04-08
30,406,2014-08-30
14,902,2010-09-24
43,4,2014-04-14
39,128,2010-12-06
34,283,2014-12-25
41,67,2014-11-02
20,718,2015-06-16
23,626,2013-10-17
28,471,2014-01-26
36,224,2012-04-29
41,71,2012-12-05
22,660,2015-12-28
24,599,2007-02-26
26,537,2013-09-22
30,413,2013-01-12
23,631,2008-03-19
16,849,2014-09-11
23,632,2012-11-04
32,353,2013-09-17
14,912,2015-05-27
28,478,2011-03-02
19,757,2014-02-12
38,169,2014-05-02
19,760,2014-02-20
38,171,2013-09-28
39,141,2013-03-31
30,421,2015-11-03
27,514,2013-12-24
21,700,2006-07-21
31,391,2014-05-15
35,267,2013-06-07
41,81,2015-07-10
35,269,2011-01-15
24,611,2010-01-31
15,890,2015-08-04
18,798,2015-09-23
13,954,2008-07-25
24,614,2010-08-08
31,397,2014-08-16
37,211,2014-04-27
32,367,2014-07-11
34,306,2011-01-29
26,555,2015-06-12
30,431,2014-08-04
21,711,2015-03-29
23,649,2014-08-23
22,681,2009-12-14
28,495,2014-01-17
28,496,2013-08-06
38,186,2015-11-17
19,776,2014-06-02
