id1,id2,friendedOn
4,895,2012-11-06
4,897,2006-08-31
29,123,2014-01-04
21,371,2005-06-25
22,341,2014-12-18
8,775,2015-12-22
5,870,2015-03-05
33,3,2015-05-05
20,408,2003-06-25
1,998,2015-03-22
23,317,2014-12-11
7,813,2013-11-14
3,937,2013-09-30
24,287,2008-04-13
9,753,2015-04-06
29,133,2009-05-08
11,691,2015-02-15
25,257,2015-09-03
14,599,2014-06-11
2,971,2014-09-27
21,384,2014-01-23
24,291,2014-03-04
4,913,2015-10-18
14,604,2012-09-24
24,296,2015-02-12
11,699,2011-11-25
16,544,2009-10-22
12,668,2014-04-28
14,606,2013-03-20
20,421,2015-03-06
13,638,2015-07-02
24,298,2015-11-24
14,608,2015-08-17
26,237,2010-03-22
4,920,2012-07-24
30,115,2013-11-06
7,828,2014-03-15
22,363,2014-03-26
31,84,2007-03-16
15,580,2015-12-02
16,549,2015-12-12
29,147,2015-09-05
14,612,2015-09-27
20,428,2012-11-26
31,89,2011-11-06
23,338,2011-09-26
32,59,2003-12-01
15,586,2015-04-30
7,836,2014-12-18
18,496,2015-09-22
21,404,2011-05-24
2,993,2015-03-14
13,654,2015-12-31
20,437,2015-07-25
8,811,2015-12-11
19,471,2011-10-22
23,348,2015-09-11
6,876,2014-11-03
13,660,2015-09-03
7,850,2014-12-08
4,943,2015-02-03
20,447,2011-06-28
4,945,2015-03-03
24,325,2014-11-12
21,420,2015-08-12
25,296,2011-05-20
18,513,2014-10-26
18,514,2015-11-19
11,731,2013-10-26
12,701,2015-07-30
33,51,2015-10-25
7,858,2012-08-24
19,487,2011-05-19
17,550,2014-06-22
12,705,2011-11-18
31,116,2015-09-30
32,86,2012-04-01
15,614,2015-07-31
8,831,2015-12-22
10,770,2014-11-05
3,987,2015-01-21
24,337,2010-07-15
20,461,2012-06-26
28,214,2013-11-29
4,958,2007-10-18
10,773,2010-02-18
11,743,2010-11-07
27,247,2015-07-20
10,775,2009-09-14
33,62,2013-08-03
30,155,2010-05-30
14,652,2013-07-01
6,900,2013-11-24
16,590,2013-01-25
6,901,2015-09-21
20,467,2005-10-28
22,406,2015-10-09
3,996,2013-06-27
7,872,2015-09-28
28,221,2014-12-10
12,717,2015-06-02
13,687,2015-07-03
18,533,2014-10-07
3,999,2015-12-19
32,101,2012-06-07
28,225,2013-11-25
8,845,2015-12-31
35,9,2008-02-15
19,505,2014-06-09
32,103,2012-11-24
19,506,2014-06-04
30,166,2011-01-16
25,321,2013-12-13
6,911,2013-10-30
27,260,2015-03-14
25,324,2015-09-24
23,386,2006-11-08
30,170,2014-11-24
23,387,2007-06-07
8,853,2015-12-17
8,855,2015-12-13
23,392,2014-05-22
28,237,2015-10-09
20,488,2014-06-09
23,395,2015-05-26
11,768,2013-02-17
34,55,2015-07-23
26,305,2015-01-19
8,864,2015-12-02
15,647,2013-11-17
15,648,2011-07-27
19,524,2010-08-18
26,307,2015-10-31
7,896,2012-02-02
27,277,2015-12-03
8,866,2015-12-22
26,309,2010-11-15
33,93,2012-11-17
13,714,2015-11-28
4,994,2015-02-16
25,345,2009-02-04
29,221,2015-06-12
12,748,2008-11-27
17,594,2005-09-05
20,501,2012-07-21
16,625,2014-01-01
5,966,2015-10-11
29,224,2012-03-15
32,131,2012-09-03
8,876,2015-12-23
33,101,2014-02-04
10,815,2015-07-24
17,598,2014-01-05
22,443,2012-08-28
25,351,2015-06-12
30,196,2014-03-19
7,910,2015-11-09
32,135,2004-12-15
22,445,2012-11-29
27,291,2013-04-06
8,882,2015-12-08
9,852,2015-11-20
26,326,2007-10-24
19,544,2012-01-27
25,358,2015-05-05
35,49,2015-03-11
30,205,2013-10-09
18,577,2015-02-29
19,546,2015-05-27
29,237,2008-05-14
33,113,2013-06-04
27,299,2015-05-03
18,579,2014-10-09
36,22,2015-11-29
6,952,2015-05-27
29,240,2014-07-12
17,614,2009-09-19
18,585,2015-10-14
11,802,2013-11-04
30,213,2015-06-28
15,679,2013-08-28
18,587,2015-04-26
33,123,2013-06-26
12,774,2015-05-26
10,837,2004-01-28
36,31,2013-08-01
8,900,2015-12-18
32,156,2010-08-03
6,962,2014-07-16
17,621,2012-12-16
26,343,2009-12-25
13,746,2015-11-01
35,65,2012-03-31
33,128,2011-01-06
15,687,2009-11-22
20,532,2015-08-16
18,594,2015-05-24
13,749,2015-09-07
21,502,2015-05-29
27,317,2015-10-25
34,100,2014-05-29
24,411,2014-07-12
11,814,2015-02-26
32,163,2008-04-23
37,9,2013-01-23
7,939,2015-11-30
31,195,2014-10-12
29,257,2015-02-02
17,630,2011-07-21
31,197,2014-01-17
25,383,2012-07-05
29,260,2014-05-01
37,13,2015-12-16
25,385,2015-03-03
24,418,2014-02-29
20,542,2010-12-14
10,852,2015-11-25
14,730,2014-10-10
19,575,2014-09-19
23,451,2013-07-21
11,823,2008-04-16
15,701,2013-09-11
6,981,2015-10-13
22,485,2014-06-06
36,51,2015-10-27
15,704,2014-12-16
19,580,2014-06-19
16,673,2014-11-03
14,736,2015-04-29
17,644,2010-12-29
21,521,2011-07-27
9,894,2015-04-08
10,864,2009-08-29
36,58,2010-05-30
20,555,2010-06-14
30,245,2015-09-21
33,153,2012-05-13
32,186,2010-04-25
8,930,2015-12-24
9,901,2014-09-14
18,623,2014-05-30
24,437,2015-04-23
10,871,2009-06-25
38,5,2014-08-02
30,255,2015-12-17
21,537,2008-09-12
16,692,2015-11-19
28,322,2015-02-18
10,882,2015-07-24
14,759,2015-07-26
22,512,2014-09-09
16,698,2008-07-04
7,978,2015-09-22
26,389,2009-10-07
12,823,2008-09-05
26,390,2013-06-06
30,266,2015-11-21
18,639,2014-12-04
28,329,2015-03-12
38,20,2015-07-21
10,888,2015-07-17
38,21,2012-06-13
18,642,2014-11-22
22,518,2012-12-04
34,146,2015-03-31
25,427,2010-02-29
13,799,2015-10-31
21,551,2015-01-22
16,706,2012-12-18
18,645,2014-07-15
15,739,2010-01-21
15,741,2014-04-07
8,959,2015-12-18
21,556,2015-12-29
13,805,2015-07-01
34,154,2013-09-29
14,774,2014-06-01
36,93,2009-07-30
15,744,2014-11-26
10,900,2004-10-27
9,932,2013-07-21
20,592,2014-05-06
21,562,2009-09-09
26,407,2015-12-02
21,563,2015-12-13
23,502,2015-05-17
30,286,2015-04-05
13,814,2015-07-23
9,938,2014-06-29
37,71,2014-08-01
39,9,2004-05-15
28,351,2014-09-01
14,786,2014-03-21
10,910,2015-09-15
34,167,2014-11-21
18,664,2014-10-01
10,912,2006-06-29
16,726,2010-07-13
9,944,2005-01-04
38,45,2015-04-07
27,387,2010-06-10
27,388,2014-12-15
34,171,2015-08-29
18,667,2015-02-13
38,48,2012-02-09
28,358,2015-02-13
10,917,2011-10-02
26,421,2015-10-07
11,886,2006-11-25
36,111,2008-05-24
22,545,2013-08-27
13,824,2015-11-06
25,453,2012-12-01
24,485,2009-07-24
26,423,2010-05-22
23,516,2010-10-06
11,889,2006-08-17
33,207,2015-08-31
35,147,2015-04-07
32,241,2006-06-18
25,458,2008-11-26
37,87,2009-04-22
13,831,2015-11-03
39,26,2010-08-29
36,119,2010-09-19
32,243,2014-12-08
10,926,2012-10-02
29,337,2015-03-02
29,338,2008-04-05
19,648,2013-10-25
8,990,2015-12-12
38,61,2014-02-05
39,30,2013-06-18
17,713,2006-11-16
39,31,2011-02-29
30,311,2011-02-25
11,901,2015-02-15
8,994,2015-12-23
38,64,2015-09-18
9,964,2014-12-24
21,592,2014-04-20
14,809,2015-11-17
25,469,2010-01-10
32,253,2011-12-16
35,161,2014-11-13
25,471,2008-02-11
8,999,2015-12-28
19,658,2014-01-08
37,100,2015-09-28
28,379,2012-12-18
14,814,2014-12-23
33,225,2014-05-08
40,8,2015-12-09
9,970,2014-06-06
38,71,2014-03-11
31,289,2011-11-13
30,320,2014-03-27
27,414,2015-11-17
11,910,2015-10-07
38,73,2012-04-27
20,631,2002-02-12
18,693,2015-11-01
31,291,2011-06-30
23,540,2011-08-19
37,107,2015-06-27
18,696,2015-06-30
11,913,2014-10-29
13,853,2015-11-16
19,667,2010-11-10
12,884,2009-09-28
30,326,2012-10-07
19,669,2009-01-24
24,515,2015-12-13
23,547,2010-09-25
32,269,2015-09-29
30,331,2015-07-18
11,920,2014-04-16
40,23,2014-06-18
22,581,2012-08-29
35,178,2014-09-19
11,922,2013-12-03
19,675,2010-09-01
18,707,2015-10-19
9,986,2007-03-19
26,463,2009-01-13
17,743,2008-05-14
33,248,2010-09-05
18,715,2014-04-23
16,777,2013-04-22
17,747,2015-04-17
26,470,2008-12-12
10,966,2015-06-05
15,812,2012-10-21
17,750,2015-06-11
32,286,2015-11-14
38,100,2015-05-20
24,534,2014-08-14
30,349,2014-06-20
13,876,2015-07-26
33,259,2015-10-31
40,42,2015-06-02
29,384,2014-08-07
32,292,2011-06-09
28,416,2014-07-08
19,696,2013-04-10
37,138,2013-12-23
21,634,2010-10-26
15,821,2014-11-14
20,667,2014-06-19
24,544,2013-05-06
30,359,2011-02-22
38,111,2015-05-13
15,824,2015-10-04
10,980,2014-02-21
11,949,2014-09-13
26,485,2012-04-25
39,84,2009-10-27
10,983,2015-09-16
12,921,2014-01-12
21,643,2014-05-01
35,209,2012-12-22
11,953,2005-06-29
28,427,2012-05-24
20,675,2015-11-06
15,831,2015-05-23
31,335,2014-09-27
32,304,2014-04-04
19,707,2015-03-21
30,367,2014-08-29
33,274,2013-05-13
35,213,2010-09-16
14,864,2013-03-22
40,59,2015-04-17
24,556,2015-12-20
19,712,2011-02-15
12,930,2012-12-04
33,279,2013-07-01
20,684,2015-04-20
